district,lon,lat,soc_0_30_tC_per_ha
Ludhiana,75.40077538466143,30.99887710589485,29.0
Ludhiana,75.45841495956374,30.99887710589485,30.0
Ludhiana,75.51605453446606,30.99887710589485,32.0
Ludhiana,75.57369410936836,30.99887710589485,28.0
Ludhiana,75.6313336842707,30.99887710589485,32.0
Ludhiana,75.688973259173,30.99887710589485,30.0
Ludhiana,75.80425240897765,30.99887710589485,31.0
Ludhiana,75.91953155878228,30.99887710589485,32.0
Ludhiana,75.97717113368459,30.99887710589485,37.0
Ludhiana,76.09245028348921,30.99887710589485,33.0
Ludhiana,76.15008985839154,30.99887710589485,31.0
Ludhiana,76.20772943329385,30.99887710589485,32.0
Ludhiana,76.26536900819616,30.99887710589485,33.0
Ludhiana,76.32300858309848,30.99887710589485,35.0
Ludhiana,76.3806481580008,30.99887710589485,38.0
Ludhiana,75.37728176319087,30.949469765268276,29.0
Ludhiana,75.43489151123795,30.949469765268276,29.0
Ludhiana,75.49250125928505,30.949469765268276,30.0
Ludhiana,75.55011100733213,30.949469765268276,30.0
Ludhiana,75.60772075537923,30.949469765268276,29.0
Ludhiana,75.66533050342632,30.949469765268276,34.0
Ludhiana,75.72294025147342,30.949469765268276,30.0
Ludhiana,75.7805499995205,30.949469765268276,29.0
Ludhiana,75.83815974756759,30.949469765268276,27.0
Ludhiana,75.95337924366179,30.949469765268276,29.0
Ludhiana,76.01098899170887,30.949469765268276,33.0
Ludhiana,76.06859873975597,30.949469765268276,32.0
Ludhiana,76.12620848780305,30.949469765268276,32.0
Ludhiana,76.18381823585014,30.949469765268276,33.0
Ludhiana,76.24142798389725,30.949469765268276,32.0
Ludhiana,76.29903773194432,30.949469765268276,34.0
Ludhiana,76.35664747999142,30.949469765268276,36.0
Ludhiana,75.35384615126246,30.900062424641703,30.0
Ludhiana,75.41142614610163,30.900062424641703,28.0
Ludhiana,75.46900614094082,30.900062424641703,30.0
Ludhiana,75.52658613578001,30.900062424641703,30.0
Ludhiana,75.5841661306192,30.900062424641703,30.0
Ludhiana,75.64174612545838,30.900062424641703,31.0
Ludhiana,75.69932612029757,30.900062424641703,33.0
Ludhiana,75.75690611513674,30.900062424641703,31.0
Ludhiana,75.9872260944935,30.900062424641703,29.0
Ludhiana,76.04480608933267,30.900062424641703,30.0
Ludhiana,76.10238608417187,30.900062424641703,33.0
Ludhiana,76.15996607901104,30.900062424641703,30.0
Ludhiana,76.21754607385023,30.900062424641703,31.0
Ludhiana,76.27512606868943,30.900062424641703,33.0
Ludhiana,76.3327060635286,30.900062424641703,31.0
Ludhiana,75.38801873933747,30.85065508401513,31.0
Ludhiana,75.4455690544578,30.85065508401513,31.0
Ludhiana,75.50311936957814,30.85065508401513,32.0
Ludhiana,75.56066968469847,30.85065508401513,30.0
Ludhiana,75.61821999981879,30.85065508401513,30.0
Ludhiana,75.67577031493913,30.85065508401513,32.0
Ludhiana,75.73332063005947,30.85065508401513,28.0
Ludhiana,75.7908709451798,30.85065508401513,28.0
Ludhiana,75.84842126030016,30.85065508401513,26.0
Ludhiana,75.90597157542048,30.85065508401513,25.0
Ludhiana,75.96352189054082,30.85065508401513,26.0
Ludhiana,76.02107220566114,30.85065508401513,28.0
Ludhiana,76.07862252078148,30.85065508401513,31.0
Ludhiana,76.1361728359018,30.85065508401513,36.0
Ludhiana,76.19372315102213,30.85065508401513,33.0
Ludhiana,76.25127346614248,30.85065508401513,32.0
Ludhiana,76.30882378126282,30.85065508401513,33.0
Ludhiana,75.30714845785,30.801247743388558,28.0
Ludhiana,75.36466916658284,30.801247743388558,28.0
Ludhiana,75.53723129278139,30.801247743388558,31.0
Ludhiana,75.59475200151424,30.801247743388558,31.0
Ludhiana,75.65227271024709,30.801247743388558,30.0
Ludhiana,75.70979341897993,30.801247743388558,30.0
Ludhiana,75.76731412771278,30.801247743388558,33.0
Ludhiana,75.88235554517848,30.801247743388558,33.0
Ludhiana,75.93987625391134,30.801247743388558,28.0
Ludhiana,75.99739696264419,30.801247743388558,31.0
Ludhiana,76.05491767137703,30.801247743388558,30.0
Ludhiana,76.11243838010988,30.801247743388558,31.0
Ludhiana,76.16995908884273,30.801247743388558,34.0
Ludhiana,76.22747979757558,30.801247743388558,30.0
Ludhiana,76.28500050630842,30.801247743388558,33.0
Ludhiana,75.2838861284084,30.751840402761978,32.0
Ludhiana,75.34137730392803,30.751840402761978,29.0
Ludhiana,75.39886847944763,30.751840402761978,31.0
Ludhiana,75.45635965496726,30.751840402761978,29.0
Ludhiana,75.51385083048686,30.751840402761978,32.0
Ludhiana,75.57134200600649,30.751840402761978,32.0
Ludhiana,75.6288331815261,30.751840402761978,27.0
Ludhiana,75.68632435704573,30.751840402761978,33.0
Ludhiana,75.74381553256534,30.751840402761978,30.0
Ludhiana,75.80130670808497,30.751840402761978,33.0
Ludhiana,75.8587978836046,30.751840402761978,27.0
Ludhiana,75.91628905912421,30.751840402761978,31.0
Ludhiana,75.97378023464383,30.751840402761978,28.0
Ludhiana,76.03127141016344,30.751840402761978,30.0
Ludhiana,76.08876258568306,30.751840402761978,29.0
Ludhiana,76.14625376120267,30.751840402761978,33.0
Ludhiana,76.2037449367223,30.751840402761978,29.0
Ludhiana,75.26068131259022,30.702433062135405,30.0
Ludhiana,75.31814302791432,30.702433062135405,29.0
Ludhiana,75.37560474323843,30.702433062135405,31.0
Ludhiana,75.43306645856252,30.702433062135405,31.0
Ludhiana,75.49052817388663,30.702433062135405,29.0
Ludhiana,75.54798988921073,30.702433062135405,30.0
Ludhiana,75.60545160453484,30.702433062135405,32.0
Ludhiana,75.66291331985893,30.702433062135405,30.0
Ludhiana,75.72037503518303,30.702433062135405,31.0
Ludhiana,75.77783675050715,30.702433062135405,29.0
Ludhiana,75.83529846583124,30.702433062135405,31.0
Ludhiana,75.89276018115535,30.702433062135405,29.0
Ludhiana,75.95022189647945,30.702433062135405,31.0
Ludhiana,76.00768361180354,30.702433062135405,32.0
Ludhiana,76.06514532712765,30.702433062135405,31.0
Ludhiana,76.12260704245175,30.702433062135405,31.0
Ludhiana,76.18006875777584,30.702433062135405,32.0
Ludhiana,76.23753047309995,30.702433062135405,28.0
Ludhiana,75.23753388754201,30.653025721508833,31.0
Ludhiana,75.29496621553234,30.653025721508833,28.0
Ludhiana,75.35239854352265,30.653025721508833,31.0
Ludhiana,75.409830871513,30.653025721508833,30.0
Ludhiana,75.46726319950332,30.653025721508833,31.0
Ludhiana,75.52469552749365,30.653025721508833,30.0
Ludhiana,75.58212785548396,30.653025721508833,31.0
Ludhiana,75.6395601834743,30.653025721508833,31.0
Ludhiana,75.69699251146463,30.653025721508833,32.0
Ludhiana,75.75442483945496,30.653025721508833,32.0
Ludhiana,75.86928949543561,30.653025721508833,32.0
Ludhiana,75.92672182342594,30.653025721508833,33.0
Ludhiana,75.98415415141626,30.653025721508833,31.0
Ludhiana,76.0415864794066,30.653025721508833,31.0
Ludhiana,76.09901880739692,30.653025721508833,32.0
Ludhiana,76.15645113538724,30.653025721508833,33.0
Ludhiana,76.21388346337757,30.653025721508833,34.0
Ludhiana,75.21444373085725,30.60361838088226,31.0
Ludhiana,75.27184674422016,30.60361838088226,29.0
Ludhiana,75.32924975758304,30.60361838088226,30.0
Ludhiana,75.38665277094593,30.60361838088226,30.0
Ludhiana,75.44405578430883,30.60361838088226,28.0
Ludhiana,75.50145879767172,30.60361838088226,29.0
Ludhiana,75.5588618110346,30.60361838088226,32.0
Ludhiana,75.6162648243975,30.60361838088226,30.0
Ludhiana,75.67366783776038,30.60361838088226,32.0
Ludhiana,75.73107085112328,30.60361838088226,32.0
Ludhiana,75.78847386448618,30.60361838088226,34.0
Ludhiana,75.84587687784907,30.60361838088226,32.0
Ludhiana,75.90327989121195,30.60361838088226,33.0
Ludhiana,75.96068290457485,30.60361838088226,31.0
Ludhiana,76.01808591793773,30.60361838088226,35.0
Ludhiana,76.07548893130061,30.60361838088226,31.0
Ludhiana,76.13289194466351,30.60361838088226,33.0
Ludhiana,76.19029495802639,30.60361838088226,31.0
Karnal,76.40077240022546,29.898877105894847,34.0
Karnal,76.46812740591503,29.898877105894847,31.0
Karnal,76.53548241160456,29.898877105894847,34.0
Karnal,76.60283741729411,29.898877105894847,32.0
Karnal,76.67019242298366,29.898877105894847,35.0
Karnal,76.73754742867321,29.898877105894847,38.0
Karnal,76.80490243436276,29.898877105894847,34.0
Karnal,76.87225744005231,29.898877105894847,34.0
Karnal,76.93961244574186,29.898877105894847,37.0
Karnal,77.00696745143141,29.898877105894847,32.0
Karnal,77.07432245712097,29.898877105894847,36.0
Karnal,77.14167746281052,29.898877105894847,34.0
Karnal,77.20903246850006,29.898877105894847,28.0
Karnal,77.2763874741896,29.898877105894847,35.0
Karnal,77.34374247987915,29.898877105894847,36.0
Karnal,77.4110974855687,29.898877105894847,35.0
Karnal,76.37362221263601,29.84048661242708,31.0
Karnal,76.44093780732128,29.84048661242708,30.0
Karnal,76.50825340200655,29.84048661242708,31.0
Karnal,76.57556899669181,29.84048661242708,30.0
Karnal,76.6428845913771,29.84048661242708,35.0
Karnal,76.71020018606237,29.84048661242708,32.0
Karnal,76.77751578074763,29.84048661242708,37.0
Karnal,76.8448313754329,29.84048661242708,36.0
Karnal,76.91214697011817,29.84048661242708,36.0
Karnal,76.97946256480344,29.84048661242708,31.0
Karnal,77.04677815948872,29.84048661242708,34.0
Karnal,77.114093754174,29.84048661242708,38.0
Karnal,77.18140934885925,29.84048661242708,31.0
Karnal,77.24872494354452,29.84048661242708,34.0
Karnal,77.3160405382298,29.84048661242708,38.0
Karnal,77.38335613291507,29.84048661242708,35.0
Karnal,76.34655188524492,29.782096118959313,28.0
Karnal,76.41382818485037,29.782096118959313,29.0
Karnal,76.4811044844558,29.782096118959313,30.0
Karnal,76.54838078406125,29.782096118959313,33.0
Karnal,76.6156570836667,29.782096118959313,33.0
Karnal,76.68293338327214,29.782096118959313,35.0
Karnal,76.7502096828776,29.782096118959313,35.0
Karnal,76.81748598248305,29.782096118959313,37.0
Karnal,76.88476228208849,29.782096118959313,34.0
Karnal,76.95203858169393,29.782096118959313,34.0
Karnal,77.01931488129938,29.782096118959313,34.0
Karnal,77.08659118090483,29.782096118959313,36.0
Karnal,77.15386748051026,29.782096118959313,30.0
Karnal,77.22114378011571,29.782096118959313,35.0
Karnal,77.28842007972115,29.782096118959313,36.0
Karnal,77.3556963793266,29.782096118959313,36.0
Karnal,76.31956122209982,29.723705625491544,31.0
Karnal,76.38679834226544,29.723705625491544,31.0
Karnal,76.45403546243105,29.723705625491544,29.0
Karnal,76.5212725825967,29.723705625491544,34.0
Karnal,76.58850970276231,29.723705625491544,32.0
Karnal,76.65574682292795,29.723705625491544,35.0
Karnal,76.72298394309357,29.723705625491544,34.0
Karnal,76.79022106325921,29.723705625491544,36.0
Karnal,76.85745818342484,29.723705625491544,34.0
Karnal,76.92469530359047,29.723705625491544,31.0
Karnal,76.9919324237561,29.723705625491544,33.0
Karnal,77.05916954392173,29.723705625491544,30.0
Karnal,77.12640666408736,29.723705625491544,34.0
Karnal,77.19364378425298,29.723705625491544,37.0
Karnal,77.26088090441861,29.723705625491544,37.0
Karnal,77.32811802458424,29.723705625491544,38.0
Karnal,76.2926500280854,29.665315132023775,26.0
Karnal,76.35984808416801,29.665315132023775,33.0
Karnal,76.42704614025058,29.665315132023775,31.0
Karnal,76.49424419633317,29.665315132023775,31.0
Karnal,76.56144225241576,29.665315132023775,31.0
Karnal,76.62864030849836,29.665315132023775,31.0
