pixel_id,district,soc0,scenario,c_input,soc_final_20y,delta_soc_20y,delta_soc_per_year,tco2e_per_ha_per_year,incremental_tco2e_vs_baseline
0,Ludhiana,29.0,CT_burn,0.9378390286426354,15.406357136582324,-13.593642863417676,-0.6796821431708838,-2.4944334654371434,0.0
0,Ludhiana,29.0,ZT_retain,1.953831309672157,23.61729351763079,-5.382706482369208,-0.2691353241184604,-0.9877266395147497,1.5067068259223937
0,Ludhiana,29.0,ZT_FYM,2.803831309672157,31.527018424730603,2.5270184247306027,0.12635092123653013,0.4637078809380656,2.958141346375209
1,Ludhiana,30.0,CT_burn,0.4823940273417761,15.117566712850243,-14.882433287149757,-0.7441216643574878,-2.7309265081919802,0.0
1,Ludhiana,30.0,ZT_retain,1.0049875569620337,21.25749240432754,-8.74250759567246,-0.43712537978362304,-1.6042501438058965,1.1266763643860838
1,Ludhiana,30.0,ZT_FYM,1.8549875569620335,27.3889690796233,-2.611030920376699,-0.13055154601883495,-0.47912417388912426,2.251802334302856
2,Ludhiana,32.0,CT_burn,0.5877316185689171,16.24842850754506,-15.75157149245494,-0.7875785746227469,-2.8904133688654814,0.0
2,Ludhiana,32.0,ZT_retain,1.224440872018577,23.150854482504453,-8.849145517495547,-0.44245727587477734,-1.6238182024604328,1.2665951664050485
2,Ludhiana,32.0,ZT_FYM,2.0744408720185774,29.69361327706195,-2.3063867229380506,-0.11531933614690253,-0.4232219636591323,2.467191405206349
3,Ludhiana,28.0,CT_burn,0.6668674389688625,14.47392400022892,-13.52607599977108,-0.676303799988554,-2.4820349459579933,0.0
3,Ludhiana,28.0,ZT_retain,1.3893071645184636,21.25003642498784,-6.74996357501216,-0.337498178750608,-1.2386183160147313,1.243416629943262
3,Ludhiana,28.0,ZT_FYM,2.2393071645184635,28.101774640324237,0.101774640324237,0.00508873201621185,0.01867564649949749,2.500710592457491
4,Ludhiana,32.0,CT_burn,0.4141794563542439,15.956659305087971,-16.04334069491203,-0.8021670347456015,-2.9439530175163573,0.0
4,Ludhiana,32.0,ZT_retain,0.862873867404675,22.021487143226164,-9.978512856773836,-0.4989256428386918,-1.8310571092179988,1.1128959082983585
4,Ludhiana,32.0,ZT_FYM,1.7128738674046748,27.886625534216698,-4.113374465783302,-0.2056687232891651,-0.7548042144712359,2.1891488030451214
5,Ludhiana,30.0,CT_burn,0.5812362489977364,15.283736444265008,-14.716263555734992,-0.7358131777867496,-2.700434362477371,0.0
5,Ludhiana,30.0,ZT_retain,1.2109088520786175,21.90069485974748,-8.099305140252518,-0.4049652570126259,-1.486222493236337,1.2142118692410337
5,Ludhiana,30.0,ZT_FYM,2.0609088520786174,28.41809300829534,-1.5819069917046598,-0.07909534958523298,-0.290279932977805,2.4101544294995656
6,Ludhiana,31.0,CT_burn,0.580611950506805,15.759573046935044,-15.240426953064956,-0.7620213476532478,-2.796618345887419,0.0
6,Ludhiana,31.0,ZT_retain,1.2096082302225106,22.500578261038466,-8.499421738961534,-0.42497108694807667,-1.5596438890994413,1.236974456787978
6,Ludhiana,31.0,ZT_FYM,2.0596082302225107,29.01553888653868,-1.9844611134613217,-0.09922305567306608,-0.3641486143201525,2.4324697315672665
7,Ludhiana,32.0,CT_burn,0.3,15.764705206145226,-16.235294793854774,-0.8117647396927387,-2.9791765946723507,0.0
7,Ludhiana,32.0,ZT_retain,0.4379213052080152,20.694132770832653,-11.305867229167347,-0.5652933614583674,-2.074626636552208,0.9045499581201426
7,Ludhiana,32.0,ZT_FYM,1.2879213052080152,25.76285853838716,-6.23714146161284,-0.311857073080642,-1.144515458205956,1.8346611364663947
8,Ludhiana,37.0,CT_burn,0.7957293707961299,18.98253705370446,-18.01746294629554,-0.9008731473147771,-3.306204450645232,0.0
8,Ludhiana,37.0,ZT_retain,1.657769522491937,27.524101561682745,-9.475898438317255,-0.47379492191586275,-1.7388273634312164,1.5673770872140156
8,Ludhiana,37.0,ZT_FYM,2.5077695224919374,34.87897078463652,-2.121029215363478,-0.10605146076817391,-0.38920886101919827,2.916995589626034
9,Ludhiana,33.0,CT_burn,0.7076252865622089,16.92687526795766,-16.07312473204234,-0.803656236602117,-2.9494183883297693,0.0
9,Ludhiana,33.0,ZT_retain,1.474219347004602,24.53499233160307,-8.465007668396929,-0.42325038341984644,-1.5533289071508365,1.3960894811789328
9,Ludhiana,33.0,ZT_FYM,2.3242193470046018,31.54586627179749,-1.4541337282025104,-0.07270668641012552,-0.26683353912516067,2.6825848492046087
10,Ludhiana,31.0,CT_burn,0.4487094006982205,15.537823566729115,-15.462176433270885,-0.7731088216635442,-2.8373093755052072,0.0
10,Ludhiana,31.0,ZT_retain,0.934811251454626,21.64224016936398,-9.35775983063602,-0.467887991531801,-1.7171489289217097,1.1201604465834976
10,Ludhiana,31.0,ZT_FYM,1.784811251454626,27.642197939859297,-3.3578020601407026,-0.16789010300703514,-0.616156678035819,2.221152697469388
11,Ludhiana,32.0,CT_burn,0.5445690072354638,16.17586518984265,-15.82413481015735,-0.7912067405078675,-2.9037287376638736,0.0
11,Ludhiana,32.0,ZT_retain,1.1345187650738828,22.869979597997585,-9.130020402002415,-0.4565010201001208,-1.6753587437674433,1.2283699938964303
11,Ludhiana,32.0,ZT_FYM,1.984518765073883,29.24421346185089,-2.75578653814911,-0.1377893269074555,-0.5056868297503616,2.398041907913512
12,Ludhiana,33.0,CT_burn,0.687519227830354,16.893073737363657,-16.106926262636343,-0.8053463131318171,-2.955620969193769,0.0
12,Ludhiana,33.0,ZT_retain,1.432331724646571,24.40415486024226,-8.595845139757738,-0.4297922569878869,-1.577337583145545,1.378283386048224
12,Ludhiana,33.0,ZT_FYM,2.282331724646571,31.33652631762023,-1.6634736823797702,-0.08317368411898851,-0.3052474207166878,2.650373548477081
13,Ludhiana,35.0,CT_burn,0.5256015251115241,17.57463623799015,-17.42536376200985,-0.8712681881004926,-3.1975542503288077,0.0
13,Ludhiana,35.0,ZT_retain,1.0950031773156754,24.55838907979626,-10.44161092020374,-0.5220805460101869,-1.916035603857386,1.2815186464714217
13,Ludhiana,35.0,ZT_FYM,1.9450031773156755,30.858565941262214,-4.1414340587377865,-0.2070717029368893,-0.7599531497783838,2.437601100550424
14,Ludhiana,38.0,CT_burn,0.5295313945843582,19.01190143065613,-18.98809856934387,-0.9494049284671935,-3.4843160874746,0.0
14,Ludhiana,38.0,ZT_retain,1.1031904053840795,26.39579999562706,-11.604200004372942,-0.5802100002186471,-2.129370700802435,1.3549453866721652
14,Ludhiana,38.0,ZT_FYM,1.9531904053840796,32.711320715124785,-5.288679284875215,-0.26443396424376076,-0.9704726487746019,2.513843438699998
15,Ludhiana,29.0,CT_burn,0.3,14.334046758490247,-14.665953241509753,-0.7332976620754876,-2.6912024198170394,0.0
15,Ludhiana,29.0,ZT_retain,0.5705737785040521,19.296639648287663,-9.703360351712337,-0.4851680175856169,-1.780566624539214,0.9106357952778255
15,Ludhiana,29.0,ZT_FYM,1.420573778504052,24.61397223378166,-4.386027766218341,-0.21930138831091703,-0.8048360951010655,1.8863663247159739
16,Ludhiana,29.0,CT_burn,0.6979273618715667,15.003026894073557,-13.996973105926443,-0.6998486552963221,-2.568444564937502,0.0
16,Ludhiana,29.0,ZT_retain,1.4540153372324307,22.05610063299299,-6.94389936700701,-0.34719496835035046,-1.2742055338457863,1.2942390310917158
16,Ludhiana,29.0,ZT_FYM,2.3040153372324306,29.029109809310295,0.029109809310295276,0.0014554904655147637,0.005341650008439182,2.573786214945941
17,Ludhiana,30.0,CT_burn,0.6069636471966225,15.32698835399628,-14.67301164600372,-0.733650582300186,-2.6924976370416824,0.0
17,Ludhiana,30.0,ZT_retain,1.264507598326297,22.06811244118037,-7.9318875588196285,-0.3965943779409814,-1.4555013670434016,1.2369962699982808
17,Ludhiana,30.0,ZT_FYM,2.114507598326297,28.685961138588013,-1.3140388614119871,-0.06570194307059936,-0.24112613106909964,2.451371505972583
18,Ludhiana,30.0,CT_burn,0.6387659358981044,15.380453135375799,-14.619546864624201,-0.7309773432312101,-2.682686849658541,0.0
18,Ludhiana,30.0,ZT_retain,1.3307623664543842,22.27506155501119,-7.724938444988808,-0.3862469222494404,-1.4175262046554462,1.265160645003095
18,Ludhiana,30.0,ZT_FYM,2.1807623664543843,29.0170797207174,-0.9829202792825988,-0.049146013964129945,-0.1803658712483569,2.502320978410184
19,Ludhiana,29.0,CT_burn,0.3,14.334046758490247,-14.665953241509753,-0.7332976620754876,-2.6912024198170394,0.0
19,Ludhiana,29.0,ZT_retain,0.5383292059772706,19.195922584462494,-9.804077415537506,-0.49020387077687533,-1.7990482057511323,0.8921542140659071
19,Ludhiana,29.0,ZT_FYM,1.3883292059772705,24.452824931661603,-4.547175068338397,-0.22735875341691986,-0.8344066250400959,1.8567957947769436
20,Ludhiana,34.0,CT_burn,0.9294277747785838,17.77664720703935,-16.22335279296065,-0.8111676396480325,-2.9769852375082793,0.0
20,Ludhiana,34.0,ZT_retain,1.9363078641220497,26.58228811359996,-7.417711886400038,-0.3708855943200019,-1.361150131154407,1.6158351063538723
20,Ludhiana,34.0,ZT_FYM,2.78630786412205,34.45917195917053,0.4591719591705328,0.022958597958526637,0.08425805450779275,3.061243292016072
21,Ludhiana,30.0,CT_burn,0.613395665088383,15.337801614439352,-14.662198385560648,-0.7331099192780324,-2.6905134037503786,0.0
21,Ludhiana,30.0,ZT_retain,1.277907635600798,22.109967932001773,-7.890032067998227,-0.39450160339991136,-1.4478208844776748,1.2426925192727039
21,Ludhiana,30.0,ZT_FYM,2.1279076356007978,28.752929923902197,-1.2470700760978026,-0.06235350380489013,-0.22883735896394677,2.4616760447864316
22,Ludhiana,29.0,CT_burn,0.4990360439779148,14.668658480237758,-14.331341519762242,-0.7165670759881121,-2.629801168876371,0.0
22,Ludhiana,29.0,ZT_retain,1.0396584249539893,20.76184214823122,-8.23815785176878,-0.41190789258843896,-1.511701965799571,1.1180992030768002
22,Ludhiana,29.0,ZT_FYM,1.8896584249539887,26.95829623369144,-2.0417037663085615,-0.10208518831542808,-0.37465264111762103,2.25514852775875
23,Ludhiana,27.0,CT_burn,1.009340053024747,14.572789603056854,-12.427210396943146,-0.6213605198471572,-2.280393107839067,0.0
23,Ludhiana,27.0,ZT_retain,2.1027917771348896,22.874684931912302,-4.125315068087698,-0.20626575340438488,-0.7569953149940926,1.5233977928449747
23,Ludhiana,27.0,ZT_FYM,2.9527917771348897,31.063579815225697,4.0635798152256974,0.20317899076128487,0.7456668960939155,3.0260600039329826
24,Ludhiana,29.0,CT_burn,0.5712144704934317,14.790002067493118,-14.209997932506882,-0.7104998966253441,-2.6075346206150125,0.0
24,Ludhiana,29.0,ZT_retain,1.190030146861316,21.231533545139747,-7.768466454860253,-0.3884233227430126,-1.4255135944668562,1.1820210261481563
24,Ludhiana,29.0,ZT_FYM,2.040030146861316,27.70980246874523,-1.290197531254769,-0.06450987656273846,-0.23675124698525016,2.3707833736297625
25,Ludhiana,33.0,CT_burn,0.3,16.24159135536358,-16.75840864463642,-0.8379204322318211,-3.0751679862907833,0.0
25,Ludhiana,33.0,ZT_retain,0.5717013723755071,21.71594548647945,-11.284054513520552,-0.5642027256760276,-2.0706240032310212,1.004543983059762
25,Ludhiana,33.0,ZT_FYM,1.421701372375507,27.035391319599654,-5.964608680400346,-0.2982304340200173,-1.0945056928534636,1.9806622934373197
26,Ludhiana,32.0,CT_burn,0.4952158769336726,16.092894610374373,-15.907105389625627,-0.7953552694812813,-2.9189538389963023,0.0
26,Ludhiana,32.0,ZT_retain,1.031699743611818,22.548820744412964,-9.451179255587036,-0.4725589627793518,-1.734291393400221,1.1846624455960812
26,Ludhiana,32.0,ZT_FYM,1.881699743611818,28.730359296115665,-3.2696407038843347,-0.16348203519421672,-0.5999790691627753,2.318974769833527
27,Ludhiana,32.0,CT_burn,0.3,15.764705206145226,-16.235294793854774,-0.8117647396927387,-2.9791765946723507,0.0
27,Ludhiana,32.0,ZT_retain,0.3,20.26333069125985,-11.73666930874015,-0.5868334654370075,-2.153678818153818,0.825497776518533
27,Ludhiana,32.0,ZT_FYM,1.0531413551324422,24.589508961023473,-7.410491038976527,-0.3705245519488264,-1.3598251056521928,1.619351489020158
28,Ludhiana,33.0,CT_burn,0.8024325512212955,17.086261585268392,-15.913738414731608,-0.7956869207365804,-2.92017099910325,0.0
28,Ludhiana,33.0,ZT_retain,1.6717344817110324,25.15193784738306,-7.84806215261694,-0.392403107630847,-1.4401194050052084,1.4800515940980417
28,Ludhiana,33.0,ZT_FYM,2.5217344817110323,32.53297909704574,-0.46702090295426046,-0.023351045147713023,-0.08569833569210679,2.8344726634111432
29,Ludhiana,32.0,CT_burn,0.4928406239285721,16.088901426618552,-15.911098573381448,-0.7955549286690724,-2.919686588215496,0.0
29,Ludhiana,32.0,ZT_retain,1.0267512998511918,22.533364105139466,-9.466635894860534,-0.4733317947430267,-1.737127686706908,1.1825589015085878
29,Ludhiana,32.0,ZT_FYM,1.876751299851192,28.70562867327811,-3.2943713267218904,-0.16471856633609452,-0.6045171384534669,2.315169449762029
30,Ludhiana,34.0,CT_burn,0.4239726954767953,16.92689561948257,-17.07310438051743,-0.8536552190258716,-3.132914653824949,0.0
30,Ludhiana,34.0,ZT_retain,0.8832764489099902,23.29310720826726,-10.706892791732741,-0.535344639586637,-1.9647148272829578,1.168199826541991
30,Ludhiana,34.0,ZT_FYM,1.73327644890999,29.196482510638113,-4.803517489361887,-0.24017587446809435,-0.8814454592979063,2.2514691945270426
31,Ludhiana,36.0,CT_burn,0.8073056917887446,18.5251125689235,-17.4748874310765,-0.873744371553825,-3.206641843602538,0.0
31,Ludhiana,36.0,ZT_retain,1.681886857893218,26.99548697291835,-9.00451302708165,-0.4502256513540825,-1.6523281404694827,1.5543137031330552
31,Ludhiana,36.0,ZT_FYM,2.531886857893218,34.39555500643568,-1.6044449935643215,-0.08022224967821608,-0.294415656319053,2.912226187283485
32,Ludhiana,30.0,CT_burn,0.3,14.810932907708587,-15.189067092291413,-0.7594533546145706,-2.787193811435474,0.0
32,Ludhiana,30.0,ZT_retain,0.4835267406614312,19.62869108360928,-10.37130891639072,-0.518565445819536,-1.903135186157697,0.8840586252777771
32,Ludhiana,30.0,ZT_FYM,1.3335267406614313,24.782886966474162,-5.2171130335258376,-0.2608556516762919,-0.9573402416519912,1.829853569783483
33,Ludhiana,28.0,CT_burn,0.6938826800560705,14.519340981761266,-13.480659018238734,-0.6740329509119367,-2.4737009298468076,0.0
33,Ludhiana,28.0,ZT_retain,1.44558891678348,21.425834470700806,-6.574165529299194,-0.3287082764649597,-1.206359374626402,1.2673415552204055
33,Ludhiana,28.0,ZT_FYM,2.29558891678348,28.38305151346515,0.3830515134651513,0.019152575673257566,0.07028995272085527,2.543990882567663
34,Ludhiana,30.0,CT_burn,0.3,14.810932907708587,-15.189067092291413,-0.7594533546145706,-2.787193811435474,0.0
34,Ludhiana,30.0,ZT_retain,0.3016574866266829,19.06061603001005,-10.93938396998995,-0.5469691984994975,-2.007376958493156,0.7798168529423184
34,Ludhiana,30.0,ZT_FYM,1.1516574866266829,23.873966880715514,-6.126033119284486,-0.3063016559642243,-1.1241270773887033,1.6630667340467709
35,Ludhiana,30.0,CT_burn,0.44095194746237,15.04789588627992,-14.95210411372008,-0.7476052056860041,-2.743711104867635,0.0
35,Ludhiana,30.0,ZT_retain,0.9186498905466044,20.98781364671184,-9.012186353288161,-0.45060931766440804,-1.6537361958283774,1.0899749090392574
35,Ludhiana,30.0,ZT_FYM,1.7686498905466044,26.957483067438304,-3.0425169325616963,-0.15212584662808482,-0.5583018571250713,2.1854092477425633
36,Ludhiana,30.0,CT_burn,0.3264687686093365,14.85543118078465,-15.14456881921535,-0.7572284409607675,-2.7790283783260166,0.0
36,Ludhiana,30.0,ZT_retain,0.6801432679361178,20.24282976726331,-9.75717023273669,-0.4878585116368345,-1.7904407377071827,0.9885876406188339
36,Ludhiana,30.0,ZT_FYM,1.5301432679361178,25.765508860320686,-4.234491139679314,-0.2117245569839657,-0.7770291241311541,2.0019992541948626
37,Ludhiana,31.0,CT_burn,0.8895692524674964,16.27898014873128,-14.721019851268721,-0.7360509925634361,-2.7013071427078104,0.0
37,Ludhiana,31.0,ZT_retain,1.8532692759739509,24.511076324636907,-6.488923675363093,-0.32444618376815465,-1.1907174944291274,1.510589648278683
37,Ludhiana,31.0,ZT_FYM,2.703269275973951,32.23233578829617,1.2323357882961687,0.061616789414808436,0.22613361715234695,2.9274407598601573
38,Ludhiana,33.0,CT_burn,0.9538131774186756,17.340756856370046,-15.659243143629954,-0.7829621571814978,-2.8734711168560967,0.0
38,Ludhiana,33.0,ZT_retain,1.9871107862889077,26.137026899833725,-6.8629731001662755,-0.34314865500831376,-1.2593555638805114,1.6141155529755853
38,Ludhiana,33.0,ZT_FYM,2.837110786288908,34.10912158096638,1.1091215809663808,0.05545607904831904,0.20352381010733087,3.0769949269634274
39,Ludhiana,31.0,CT_burn,0.5112278155959606,15.642927114969904,-15.357072885030096,-0.7678536442515048,-2.8180228744030225,0.0
39,Ludhiana,31.0,ZT_retain,1.0650579491582517,22.04907034069656,-8.95092965930344,-0.447546482965172,-1.6424955924821814,1.175527281920841
39,Ludhiana,31.0,ZT_FYM,1.915057949158252,28.293126213991716,-2.706873786008284,-0.1353436893004142,-0.49671133973252013,2.321311534670502
40,Ludhiana,29.0,CT_burn,0.7583628607407149,15.104628724210057,-13.895371275789943,-0.6947685637894971,-2.5498006291074544,0.0
40,Ludhiana,29.0,ZT_retain,1.579922626543156,22.44937650858462,-6.550623491415379,-0.32753117457076897,-1.202039410674722,1.3477612184327323
40,Ludhiana,29.0,ZT_FYM,2.429922626543156,29.658351210256967,0.6583512102569671,0.03291756051284835,0.12080744708215345,2.670608076189608
41,Ludhiana,30.0,CT_burn,0.5427868720555036,15.21909683446556,-14.78090316553444,-0.739045158276722,-2.7122957308755695,0.0
41,Ludhiana,30.0,ZT_retain,1.130805983448966,21.650490713743178,-8.349509286256822,-0.4174754643128411,-1.5321349540281268,1.1801607768474427
41,Ludhiana,30.0,ZT_FYM,1.980805983448966,28.017766374688225,-1.9822336253117747,-0.09911168126558874,-0.36373987024471066,2.3485558606308587
42,Ludhiana,33.0,CT_burn,0.7007746706036699,16.91535827658704,-16.08464172341296,-0.804232086170648,-2.951531756246278,0.0
42,Ludhiana,33.0,ZT_retain,1.4599472304243124,24.490412870196288,-8.509587129803712,-0.42547935649018565,-1.5615092383189813,1.390022517927297
42,Ludhiana,33.0,ZT_FYM,2.3099472304243123,31.474539133546617,-1.5254608664533826,-0.07627304332266913,-0.2799220689941957,2.6716096872520825
43,Ludhiana,30.0,CT_burn,0.4218007841157867,15.015699688984158,-14.984300311015842,-0.7492150155507921,-2.749619107071407,0.0
43,Ludhiana,30.0,ZT_retain,0.8787516335745558,20.863190028562716,-9.136809971437284,-0.4568404985718642,-1.6766046297587416,1.0730144773126653
43,Ludhiana,30.0,ZT_FYM,1.728751633574556,26.75808527839949,-3.2419147216005086,-0.16209573608002542,-0.5948913514136933,2.1547277556577136
44,Ludhiana,31.0,CT_burn,0.3,15.287819056926903,-15.712180943073097,-0.7856090471536549,-2.8831852030539133,0.0
44,Ludhiana,31.0,ZT_retain,0.4583307506064956,20.153936456375995,-10.846063543624005,-0.5423031771812002,-1.9902526602550048,0.8929325427989085
44,Ludhiana,31.0,ZT_FYM,1.3083307506064956,25.260911999078687,-5.739088000921313,-0.28695440004606565,-1.053122648169061,1.8300625548848524
45,Ludhiana,33.0,CT_burn,0.3,16.24159135536358,-16.75840864463642,-0.8379204322318211,-3.0751679862907833,0.0
45,Ludhiana,33.0,ZT_retain,0.4166365902689141,21.23159514989249,-11.768404850107508,-0.5884202425053754,-2.1595022899947276,0.9156656962960557
45,Ludhiana,33.0,ZT_FYM,1.266636590268914,26.260430781060517,-6.739569218939483,-0.33697846094697415,-1.2367109516753951,1.8384570346153881
46,Ludhiana,31.0,CT_burn,0.6617153350911866,15.895920929524364,-15.104079070475636,-0.7552039535237818,-2.771598509432279,0.0
46,Ludhiana,31.0,ZT_retain,1.3785736147733054,23.02834762147559,-7.971652378524411,-0.39858261892622054,-1.4627982114592293,1.3088002979730498
46,Ludhiana,31.0,ZT_FYM,2.228573614773305,29.85996986323814,-1.1400301367618617,-0.05700150683809309,-0.20919553009580164,2.5624029793364773
47,Ludhiana,31.0,CT_burn,1.0554920751529862,16.557923199780788,-14.442076800219212,-0.7221038400109606,-2.6501210928402252,0.0
47,Ludhiana,31.0,ZT_retain,2.198941823235388,25.59079676367163,-5.40920323632837,-0.2704601618164185,-0.992588793866256,1.6575322989739694
47,Ludhiana,31.0,ZT_FYM,3.048941823235388,33.95988849075161,2.9598884907516094,0.14799442453758047,0.5431395380529203,3.1932606308931453
48,Ludhiana,31.0,CT_burn,0.6376997363632659,15.855546831051894,-15.144453168948106,-0.7572226584474053,-2.7790071565019776,0.0
48,Ludhiana,31.0,ZT_retain,1.3285411174234707,22.872069344729177,-8.127930655270823,-0.40639653276354115,-1.491475275242196,1.2875318812597816
48,Ludhiana,31.0,ZT_FYM,2.1785411174234706,29.609924620443838,-1.390075379556162,-0.0695037689778081,-0.25507883214855576,2.523928324353422
49,Ludhiana,32.0,CT_burn,0.47000350438254,16.050508541901188,-15.949491458098812,-0.7974745729049406,-2.926731682561132,0.0
49,Ludhiana,32.0,ZT_retain,0.9791739674636252,22.384754623071622,-9.615245376928378,-0.4807622688464189,-1.7643975266663574,1.1623341558947744
49,Ludhiana,32.0,ZT_FYM,1.8291739674636247,28.46785350196952,-3.5321464980304818,-0.1766073249015241,-0.6481488823885934,2.2785828001725386
50,Ludhiana,30.0,CT_burn,0.984618383724506,15.961886933621255,-14.038113066378745,-0.7019056533189373,-2.5759937476804997,0.0
50,Ludhiana,30.0,ZT_retain,2.051288299426054,24.52564981504935,-5.4743501849506515,-0.2737175092475326,-1.0045432589384444,1.5714504887420553
50,Ludhiana,30.0,ZT_FYM,2.9012882994260543,32.61802093677824,2.6180209367782368,0.13090104683891185,0.4804068418988065,3.0564005895793063
51,Ludhiana,30.0,CT_burn,0.6309181500097752,15.36725974037298,-14.63274025962702,-0.731637012981351,-2.6851078376415582,0.0
51,Ludhiana,30.0,ZT_retain,1.3144128125203651,22.2239931444837,-7.7760068555163,-0.388800342775815,-1.426897257987241,1.2582105796543173
51,Ludhiana,30.0,ZT_FYM,2.164412812520365,28.935370263873185,-1.0646297361268147,-0.05323148680634073,-0.19535955657927048,2.4897482810622877
52,Ludhiana,32.0,CT_burn,0.6022228576766933,16.27279061991026,-15.72720938008974,-0.786360469004487,-2.885942921246467,0.0
52,Ludhiana,32.0,ZT_retain,1.254630953493111,23.245154270793602,-8.754845729206398,-0.4377422864603199,-1.606514191309374,1.2794287299370932
52,Ludhiana,32.0,ZT_FYM,2.104630953493111,29.844492938324784,-2.155507061675216,-0.10777535308376081,-0.39553554581740213,2.490407375429065
53,Ludhiana,28.0,CT_burn,0.6341444177492831,14.418911318846064,-13.581088681153936,-0.6790544340576968,-2.4921297729917473,0.0
53,Ludhiana,28.0,ZT_retain,1.32113420364434,21.037095768205987,-6.962904231794013,-0.3481452115897007,-1.2776929265342014,1.214436846457546
53,Ludhiana,28.0,ZT_FYM,2.17113420364434,27.76106958947322,-0.23893041052678043,-0.011946520526339021,-0.04384373033166421,2.448286042660083
54,Ludhiana,28.0,CT_burn,0.5528419358738818,14.282228721568885,-13.717771278431115,-0.6858885639215557,-2.5172110295921093,0.0
54,Ludhiana,28.0,ZT_retain,1.151754033070587,20.508030808941697,-7.491969191058303,-0.37459845955291515,-1.3747763465591987,1.1424346830329106
54,Ludhiana,28.0,ZT_FYM,2.001754033070587,26.914565654650467,-1.0854343453495332,-0.05427171726747666,-0.19917720237163936,2.31803382722047
55,Ludhiana,26.0,CT_burn,0.5154385968676286,13.265575371972577,-12.734424628027423,-0.6367212314013712,-2.3367669192430323,0.0
55,Ludhiana,26.0,ZT_retain,1.0738304101408929,19.05674173462432,-6.943258265375679,-0.34716291326878396,-1.274087891696437,1.0626790275465952
55,Ludhiana,26.0,ZT_FYM,1.923830410140893,25.317238263387054,-0.6827617366129459,-0.0341380868306473,-0.1252867786684756,2.2114801405745568
56,Ludhiana,25.0,CT_burn,0.3,12.426502161616911,-12.573497838383089,-0.6286748919191545,-2.307236853343297,0.0
56,Ludhiana,25.0,ZT_retain,0.5786160749443563,16.905976287121344,-8.094023712878656,-0.40470118564393276,-1.485253351313233,0.8219835020300639
56,Ludhiana,25.0,ZT_FYM,1.4286160749443564,22.23838111120452,-2.7616188887954785,-0.13808094443977392,-0.5067570660939703,1.8004797872493268
57,Ludhiana,26.0,CT_burn,0.6867430148158359,13.553565753448286,-12.446434246551714,-0.6223217123275857,-2.2839206842422395,0.0
57,Ludhiana,26.0,ZT_retain,1.430714614199658,20.171482180585805,-5.828517819414195,-0.29142589097070976,-1.0695330198625048,1.2143876643797347
57,Ludhiana,26.0,ZT_FYM,2.280714614199658,27.10082297692552,1.100822976925521,0.05504114884627605,0.20200101626583308,2.4859217005080727
58,Ludhiana,28.0,CT_burn,0.5607834248670942,14.295579646618116,-13.704420353381884,-0.6852210176690943,-2.514761134845576,0.0
58,Ludhiana,28.0,ZT_retain,1.1682988018064464,20.559708979813802,-7.440291020186198,-0.3720145510093099,-1.3652934022041674,1.1494677326414087
58,Ludhiana,28.0,ZT_FYM,2.0182988018064463,26.99725072804599,-1.0027492719540092,-0.05013746359770046,-0.18400449140356068,2.3307566434420153
59,Ludhiana,31.0,CT_burn,0.832779746799055,16.183507821764177,-14.816492178235823,-0.7408246089117911,-2.7188263147062735,0.0
59,Ludhiana,31.0,ZT_retain,1.7349578058313646,24.141526259127673,-6.858473740872327,-0.34292368704361637,-1.258529931450072,1.4602963832562015
59,Ludhiana,31.0,ZT_FYM,2.5849578058313645,31.641055683481422,0.6410556834814223,0.03205278417407111,0.11763371791884097,2.8364600326251144
60,Ludhiana,36.0,CT_burn,0.5029055394638149,18.013366771358385,-17.986633228641615,-0.8993316614320808,-3.3005471974557365,0.0
60,Ludhiana,36.0,ZT_retain,1.0477198738829476,25.014643947281844,-10.985356052718156,-0.5492678026359078,-2.0158128356737817,1.2847343617819549
60,Ludhiana,36.0,ZT_FYM,1.897719873882948,31.2262061654169,-4.773793834583099,-0.23868969172915494,-0.8759911686459986,2.424556028809738
61,Ludhiana,33.0,CT_burn,0.3,16.24159135536358,-16.75840864463642,-0.8379204322318211,-3.0751679862907833,0.0
61,Ludhiana,33.0,ZT_retain,0.3711972534465939,21.08966377266298,-11.91033622733702,-0.595516811366851,-2.185546697716343,0.8896212885744403
61,Ludhiana,33.0,ZT_FYM,1.221197253446594,26.03334057749335,-6.966659422506648,-0.3483329711253324,-1.2783820040299698,1.7967859822608134
62,Ludhiana,32.0,CT_burn,0.5597622345438048,16.20140745769995,-15.79859254230005,-0.7899296271150025,-2.899041731512059,0.0
62,Ludhiana,32.0,ZT_retain,1.16617132196626,22.968847480029773,-9.031152519970227,-0.45155762599851135,-1.6572164874145365,1.2418252440975224
